# m_a[MeV] g_a Z
0.25 2e-06 0.0
0.2899749006410853 2e-06 0.0
0.3363417720072291 2e-06 0.0
0.3901226876769712 2e-06 0.0
0.45250315038785144 2e-06 0.0
0.5248582242939811 2e-06 0.0016066608769253355
0.6087828457612144 2e-06 0.004923985002616571
0.7061269808464212 2e-06 0.007426289290176344
0.8190364044437219 2e-06 0.009304168003050806
0.95 2e-06 0.010505682577613954
0.25 3.16764e-06 0.0
0.2899749006410853 3.16764e-06 0.0
0.3363417720072291 3.16764e-06 0.0
0.3901226876769712 3.16764e-06 0.0
0.45250315038785144 3.16764e-06 0.0
0.5248582242939811 3.16764e-06 0.003246492956136003
0.6087828457612144 3.16764e-06 0.009818683893562533
0.7061269808464212 3.16764e-06 0.014549043601931764
0.8190364044437219 3.16764e-06 0.0176985268447556
0.95 3.16764e-06 0.019325427221701406
0.25 5.01697e-06 0.0
0.2899749006410853 5.01697e-06 0.0
0.3363417720072291 5.01697e-06 0.0
0.3901226876769712 5.01697e-06 0.0
0.45250315038785144 5.01697e-06 0.0
0.5248582242939811 5.01697e-06 0.0070182925547855905
0.6087828457612144 5.01697e-06 0.021046034454664533
0.7061269808464212 5.01697e-06 0.030308175166247304
0.8190364044437219 5.01697e-06 0.03621840110248827
0.95 5.01697e-06 0.038858987174732046
0.25 7.94597e-06 0.0
0.2899749006410853 7.94597e-06 0.0
0.3363417720072291 7.94597e-06 0.0
0.3901226876769712 7.94597e-06 0.0
0.45250315038785144 7.94597e-06 0.0
0.5248582242939811 7.94597e-06 0.01620007082994714
0.6087828457612144 7.94597e-06 0.04832121001111606
0.7061269808464212 7.94597e-06 0.07036047022602529
0.8190364044437219 7.94597e-06 0.08303550298956713
0.95 7.94597e-06 0.08756774498796197
0.25 1.2585e-05 0.0
0.2899749006410853 1.2585e-05 0.0
0.3363417720072291 1.2585e-05 0.0
0.3901226876769712 1.2585e-05 0.0
0.45250315038785144 1.2585e-05 0.0
0.5248582242939811 1.2585e-05 0.03886502077734909
0.6087828457612144 1.2585e-05 0.11569636802287932
0.7061269808464212 1.2585e-05 0.1679902179969674
0.8190364044437219 1.2585e-05 0.19729131204317885
0.95 1.2585e-05 0.20687996287441604
0.25 1.99324e-05 0.0
0.2899749006410853 1.99324e-05 0.0
0.3363417720072291 1.99324e-05 0.0
0.3901226876769712 1.99324e-05 0.0
0.45250315038785144 1.99324e-05 0.0
0.5248582242939811 1.99324e-05 0.0954152537123514
0.6087828457612144 1.99324e-05 0.2832073906739675
0.7061269808464212 1.99324e-05 0.41064015686626276
0.8190364044437219 1.99324e-05 0.4813728899947152
0.95 1.99324e-05 0.5037845273980412
0.25 3.15693e-05 0.0
0.2899749006410853 3.15693e-05 0.0
0.3363417720072291 3.15693e-05 0.0
0.3901226876769712 3.15693e-05 0.0
0.45250315038785144 3.15693e-05 0.0
0.5248582242939811 3.15693e-05 0.23621090805298584
0.6087828457612144 3.15693e-05 0.6977719310165911
0.7061269808464212 3.15693e-05 1.0103446729726249
0.8190364044437219 3.15693e-05 1.1837369755009215
0.95 3.15693e-05 1.2388358007666416
0.25 5e-05 0.0
0.2899749006410853 5e-05 0.0
0.3363417720072291 5e-05 0.0
0.3901226876769712 5e-05 0.0
0.45250315038785144 5e-05 0.0
0.5248582242939811 5e-05 0.5842702895775305
0.6087828457612144 5e-05 1.7066152206513163
0.7061269808464212 5e-05 2.4652304352129133
0.8190364044437219 5e-05 2.89003681817066
0.95 5e-05 3.0316981933005827
0.25 6e-05 0.0
0.2899749006410853 6e-05 0.0
0.3363417720072291 6e-05 0.0
